language,test,runs,timeMs
BareScript (C),mandelbrot,17,153
BareScript (C),schemaParse,2400,204
BareScript (C),schemaValidate,2400,282
BareScript (C),markdownParse,272,148
BareScript (C),markdownElements,1200,178
BareScript (C),qrcodeMatrix,150,123
BareScript (C),urlEncode,38400,146
BareScript (C),urlDecode,38400,203
C,mandelbrot,1,0.793945
BareScript (C),testSuite,1000,150
BareScript (C),mandelbrot,17,154
BareScript (C),schemaParse,1950,166
BareScript (C),schemaValidate,1200,141
BareScript (C),markdownParse,300,162
BareScript (C),markdownElements,800,122
BareScript (C),qrcodeMatrix,176,148
BareScript (C),urlEncode,38400,148
BareScript (C),urlDecode,38400,206
C,mandelbrot,1,0.804932
BareScript (C),testSuite,1000,150
BareScript (C),mandelbrot,17,157
BareScript (C),schemaParse,2400,209
BareScript (C),schemaValidate,1200,142
BareScript (C),markdownParse,272,150
BareScript (C),markdownElements,800,122
BareScript (C),qrcodeMatrix,150,127
BareScript (C),urlEncode,38400,149
BareScript (C),urlDecode,38400,210
C,mandelbrot,1,0.806885
BareScript (C),testSuite,1000,150
BareScript (C),mandelbrot,15,137
BareScript (C),schemaParse,1200,101
BareScript (C),schemaValidate,1200,141
BareScript (C),markdownParse,304,163
BareScript (C),markdownElements,1050,158
BareScript (C),qrcodeMatrix,150,125
BareScript (C),urlEncode,38400,147
BareScript (C),urlDecode,38400,205
C,mandelbrot,1,0.788086
BareScript (C),testSuite,1000,150
BareScript (C),mandelbrot,19,177
BareScript (C),schemaParse,2400,210
BareScript (C),schemaValidate,1200,142
BareScript (C),markdownParse,300,164
BareScript (C),markdownElements,1200,186
BareScript (C),qrcodeMatrix,150,128
BareScript (C),urlEncode,38400,149
BareScript (C),urlDecode,28800,156
C,mandelbrot,1,0.793945
BareScript (C),testSuite,1000,150
BareScript (JS),mandelbrot,1,269
BareScript (JS),schemaParse,150,152
BareScript (JS),schemaValidate,75,133
BareScript (JS),markdownParse,75,145
BareScript (JS),markdownElements,300,169
BareScript (JS),qrcodeMatrix,17,120
BareScript (JS),urlEncode,2400,104
BareScript (JS),urlDecode,1650,125
JavaScript,mandelbrot,1,1.6787920000000014
JavaScript,schemaParse,250,17.773958000000004
JavaScript,schemaValidate,250,14.290042
JavaScript,markdownParse,250,106.56829100000002
JavaScript,markdownElements,1000,28.910584
JavaScript,urlEncode,2000,4.406082999999995
JavaScript,urlDecode,2000,9.671791999999982
BareScript (JS),testSuite,1000,1540
BareScript (JS),mandelbrot,1,269
BareScript (JS),schemaParse,150,153
BareScript (JS),schemaValidate,75,134
BareScript (JS),markdownParse,75,146
BareScript (JS),markdownElements,300,170
BareScript (JS),qrcodeMatrix,17,119
BareScript (JS),urlEncode,3328,144
BareScript (JS),urlDecode,2400,177
JavaScript,mandelbrot,1,1.6616249999999972
JavaScript,schemaParse,250,17.912875000000003
JavaScript,schemaValidate,250,14.306292000000006
JavaScript,markdownParse,250,106.112042
JavaScript,markdownElements,1000,28.940167000000002
JavaScript,urlEncode,2000,4.721915999999993
JavaScript,urlDecode,2000,9.546832999999992
BareScript (JS),testSuite,1000,1560
BareScript (JS),mandelbrot,1,269
BareScript (JS),schemaParse,150,157
BareScript (JS),schemaValidate,100,175
BareScript (JS),markdownParse,75,148
BareScript (JS),markdownElements,272,157
BareScript (JS),qrcodeMatrix,17,122
BareScript (JS),urlEncode,3328,144
BareScript (JS),urlDecode,2400,183
JavaScript,mandelbrot,1,1.653333
JavaScript,schemaParse,250,18.488625
JavaScript,schemaValidate,250,14.526166000000003
JavaScript,markdownParse,250,107.230625
JavaScript,markdownElements,1000,29.031125000000003
JavaScript,urlEncode,2000,4.523791999999986
JavaScript,urlDecode,2000,9.905750000000012
