language,test,runs,timeMs
BareScript (C),mandelbrot,17,150
BareScript (C),schemaParse,2400,204
BareScript (C),schemaValidate,1200,142
BareScript (C),markdownParse,300,162
BareScript (C),markdownElements,1200,178
BareScript (C),qrcodeMatrix,150,125
BareScript (C),urlEncode,38400,147
BareScript (C),urlDecode,38400,205
C,mandelbrot,1,0.791016
BareScript (C),testSuite,1000,150
BareScript (JS),mandelbrot,1,273
BareScript (JS),schemaParse,150,150
BareScript (JS),schemaValidate,75,132
BareScript (JS),markdownParse,100,186
BareScript (JS),markdownElements,272,153
BareScript (JS),qrcodeMatrix,19,134
BareScript (JS),urlEncode,2400,100
BareScript (JS),urlDecode,2400,173
JavaScript,mandelbrot,1,1.637125000000001
JavaScript,schemaParse,250,17.756749999999997
JavaScript,schemaValidate,250,14.250625
JavaScript,markdownParse,250,106.670625
JavaScript,markdownElements,1000,29.010500000000008
JavaScript,urlEncode,2000,4.731792000000013
JavaScript,urlDecode,2000,9.393749999999983
BareScript (JS),testSuite,1000,1530
BareScript (PyC),mandelbrot,1,108
BareScript (PyC),schemaParse,150,164
BareScript (PyC),schemaValidate,150,158
BareScript (PyC),markdownParse,25,153
BareScript (PyC),markdownElements,300,164
BareScript (PyC),qrcodeMatrix,19,159
BareScript (PyC),urlEncode,2400,123
BareScript (PyC),urlDecode,1200,132
BareScript (Py),mandelbrot,1,3761
BareScript (Py),schemaParse,17,155
BareScript (Py),schemaValidate,10,146
BareScript (Py),markdownParse,9,163
BareScript (Py),markdownElements,38,163
BareScript (Py),qrcodeMatrix,3,210
BareScript (Py),urlEncode,400,144
BareScript (Py),urlDecode,300,193
Python,mandelbrot,1,47.467
Python,schemaParse,250,42.234
Python,schemaValidate,250,51.379
Python,urlEncode,2000,21.072
Python,urlDecode,2000,23.769
BareScript (PyC),testSuite,1000,7010
BareScript (Py),testSuite,1000,9420
